"SampleID","Treatment","Concentration_ppm","Replicate","CFUs"
"EtOH_0.1_ppm_1","EtOH",0.1,1,55
"EtOH_0.1_ppm_2","EtOH",0.1,2,56
"EtOH_0.1_ppm_3","EtOH",0.1,3,42
"EtOH_0.1_ppm_4","EtOH",0.1,4,45
"EtOH_0.1_ppm_5","EtOH",0.1,5,38
"EtOH_1_ppm_1","EtOH",1,1,48
"EtOH_1_ppm_2","EtOH",1,2,58
"EtOH_1_ppm_3","EtOH",1,3,56
"EtOH_1_ppm_4","EtOH",1,4,52
"EtOH_1_ppm_5","EtOH",1,5,51
"EtOH_10_ppm_1","EtOH",10,1,60
"EtOH_10_ppm_2","EtOH",10,2,61
"EtOH_10_ppm_3","EtOH",10,3,59
"EtOH_10_ppm_4","EtOH",10,4,57
"EtOH_10_ppm_5","EtOH",10,5,64
"EtOH_100_ppm_1","EtOH",100,1,15
"EtOH_100_ppm_2","EtOH",100,2,16
"EtOH_100_ppm_3","EtOH",100,3,16
"EtOH_100_ppm_4","EtOH",100,4,17
"EtOH_100_ppm_5","EtOH",100,5,18
"H2O_NA_ppm_1","H2O","NA",1,20
"H2O_NA_ppm_2","H2O","NA",2,25
"H2O_NA_ppm_3","H2O","NA",3,32
"H2O_NA_ppm_4","H2O","NA",4,36
"H2O_NA_ppm_5","H2O","NA",5,29
"Acetone_100_ppm_1","Acetone",100,1,55
"Acetone_100_ppm_2","Acetone",100,2,51
"Acetone_100_ppm_3","Acetone",100,3,58
"Acetone_100_ppm_4","Acetone",100,4,60
"Acetone_100_ppm_5","Acetone",100,5,49
